tblname,name,poly,incomeShared,senateIdShared
1,A-DOG THE ARLINGTON DOG OWNERS GROUP INC,"<Point><coordinates>-71.184759,42.428438</coordinates></Point>",0,24
1,A2EMPOWERMENT,"<Point><coordinates>-71.128303,42.399025</coordinates></Point>",0,25
1,A3D INCORPORATED,"<Point><coordinates>-70.87809,42.550666</coordinates></Point>",11127,21
1,AAA ALL AMERICAN CATS,"<Point><coordinates>-71.185277,42.305592</coordinates></Point>",0,29
1,AAA FULL CIRCLE ADOPTIONS & FAMILY BUILDING CENTER INC,"<Point><coordinates>-72.629352,42.319811</coordinates></Point>",320895,6
1,AAC ANIMAL PARTNERS INC,"<Point><coordinates>-71.099378,42.374623</coordinates></Point>",10852,25
1,AAC BOOSTER CLUB,"<Point><coordinates>-71.344756,42.069176</coordinates></Point>",20091,17
1,AACR BOSTON INC,"<Point><coordinates>-71.117719,42.33986</coordinates></Point>",10547,29
1,AARON CLARK MEMORIAL CEMETARY ASSN,"<Point><coordinates>-72.582274,42.60517</coordinates></Point>",0,6
1,AARON FOUNDATION,"<Point><coordinates>-71.281066,42.349894</coordinates></Point>",917559,16
1,AARON SIERADZKI MEMORIAL SCHOLARSHIP FUND,"<Point><coordinates>-70.782825,42.566762</coordinates></Point>",96,20
1,AB IMPERIO INC,"<Point><coordinates>-72.526614,42.338433</coordinates></Point>",117544,6
1,ABBIE FRANCES LAWTON MEMORIAL HOME,"<Point><coordinates>-71.442024,42.036878</coordinates></Point>",37324,17
1,ABBIE FRANCES LAWTON MEMORIAL HOME,"<Point><coordinates>-71.35685,41.918539</coordinates></Point>",117317,17
1,ABBINGTON ACADEMY INC,"<Point><coordinates>-70.588134,41.73176</coordinates></Point>",40,39
1,ABBOT & DOROTHY H STEVENS FOUNDATION,"<Point><coordinates>-71.112001,42.683425</coordinates></Point>",7034414,19
1,ABBOT PUBLIC LIBRARY SECOND CENTURY FUND,"<Point><coordinates>-70.836991,42.500096</coordinates></Point>",571644,22
1,ABBY KELLEY FOSTER CHARTER PUBLIC HIGH SCHOOL BOOSTER CLUB,"<Point><coordinates>-71.802134,42.305572</coordinates></Point>",0,10
